star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
3.95405452e+04,5.39999611,-3.16254331e-11,2.28095674,3.65972163,1.34371227,-1.34545049,1.20842410e-04,6.27703483,-2.27429413,-1
4.12832802e+04,5.39999606,-3.06144087e-11,2.27263959,3.66048478,1.33802739,-1.34540503,1.20058401e-04,6.28195755,-2.25177497,-1
4.31055403e+04,5.39999600,-2.96470652e-11,2.26446484,3.66126421,1.33238116,-1.34535758,1.19294260e-04,6.28698833,-2.22902717,-1
4.50056384e+04,5.39999595,-2.87296006e-11,2.25638609,3.66205606,1.32675808,-1.34533201,1.18593135e-04,6.29213966,-2.20603990,-1
4.69922967e+04,5.39999589,-2.78416132e-11,2.24838762,3.66286143,1.32114810,-1.34531529,1.17878913e-04,6.29747916,-2.18268751,-1
4.90627908e+04,5.39999584,-2.69718344e-11,2.24028635,3.66363879,1.31554275,-1.34529806,1.17117987e-04,6.30296565,-2.15902133,-1
5.12273979e+04,5.39999578,-2.61416315e-11,2.23234238,3.66446223,1.30992388,-1.34529026,1.16414191e-04,6.30863915,-2.13498900,-1
5.34840397e+04,5.39999572,-2.53270912e-11,2.22426260,3.66525945,1.30428955,-1.34528356,1.15669106e-04,6.31444850,-2.11075212,-1
5.58409089e+04,5.39999566,-2.45339277e-11,2.21618014,3.66606846,1.29863030,-1.34527620,1.14914182e-04,6.32045953,-2.08616167,-1
5.83012612e+04,5.39999560,-2.37824850e-11,2.20841110,3.66697536,1.29293198,-1.34527340,1.14263416e-04,6.32668140,-2.06118780,-1
6.08658910e+04,5.39999554,-2.30352255e-11,2.20030190,3.66781126,1.28720558,-1.34527062,1.13527722e-04,6.33310059,-2.03585669,-1
6.35464288e+04,5.39999548,-2.23130139e-11,2.19236392,3.66870766,1.28144379,-1.34535063,1.12795697e-04,6.33972791,-2.01013398,-1
6.63424662e+04,5.39999542,-2.16202808e-11,2.18448085,3.66963554,1.27564650,-1.34539175,1.12126215e-04,6.34655132,-1.98403266,-1
6.92595658e+04,5.39999536,-2.09396462e-11,2.17666316,3.67059428,1.26982018,-1.34539533,1.11428374e-04,6.35356421,-1.95755787,-1
7.23030104e+04,5.39999530,-2.02873964e-11,2.16867867,3.67152245,1.26397159,-1.34534864,1.10789922e-04,6.36075940,-1.93072589,-1
7.54818079e+04,5.39999524,-1.96501394e-11,2.16084964,3.67249780,1.25810638,-1.34555046,1.10070538e-04,6.36813216,-1.90351513,-1
7.87982331e+04,5.39999517,-1.90389093e-11,2.15293689,3.67345578,1.25223403,-1.34566847,1.09409940e-04,6.37567013,-1.87594776,-1
8.22597460e+04,5.39999511,-1.84415127e-11,2.14522042,3.67446207,1.24636322,-1.34568425,1.08741529e-04,6.38336744,-1.84801865,-1
8.58727327e+04,5.39999504,-1.78801415e-11,2.13764645,3.67550202,1.24049634,-1.34566148,1.08185740e-04,6.39122382,-1.81972436,-1
8.96439694e+04,5.39999498,-1.73352617e-11,2.13021131,3.67656709,1.23464863,-1.34562730,1.07619631e-04,6.39923493,-1.79107540,-1
